<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
11/01/23,000000,3935.06,3969.89,3928.54,3969.61,61695
12/01/23,000000,3978.85,3997.76,3937.56,3983.17,63040
13/01/23,000000,3952.47,4003.95,3947.67,3999.09,61931
17/01/23,000000,4000.09,4015.39,3984.57,3990.97,61719
18/01/23,000000,4003.91,4014.16,3926.59,3928.86,62484
19/01/23,000000,3907.64,3922.94,3885.54,3898.85,62680
20/01/23,000000,3912.3,3972.96,3897.86,3972.61,61877
23/01/23,000000,3979.53,4039.31,3971.64,4019.81,62376
24/01/23,000000,4000.62,4023.92,3989.79,4016.95,62741
25/01/23,000000,3982.71,4019.55,3949.06,4016.22,62997
26/01/23,000000,4043.47,4061.57,4013.29,4060.43,62771
27/01/23,000000,4051.29,4094.21,4048.7,4070.56,62640
30/01/23,000000,4042.84,4063.85,4015.55,4017.77,62762
31/01/23,000000,4022.51,4077.16,4020.44,4076.6,61975
01/02/23,000000,4066.7,4148.95,4037.28,4119.21,62857
02/02/23,000000,4161.87,4195.44,4141.88,4179.76,63774
03/02/23,000000,4136.69,4182.36,4123.36,4136.48,64478
06/02/23,000000,4111.97,4124.63,4093.38,4111.08,63449
07/02/23,000000,4102.88,4176.54,4088.39,4164,63852
08/02/23,000000,4147.72,4156.85,4111.67,4117.86,63877
09/02/23,000000,4152.4,4156.23,4069.67,4081.5,63610
10/02/23,000000,4067.9,4094.36,4060.79,4090.46,63261
13/02/23,000000,4097.31,4138.9,4092.67,4137.29,62587
14/02/23,000000,4126.7,4159.77,4095.01,4136.13,63435
15/02/23,000000,4113.73,4147.94,4103.98,4147.6,59241
16/02/23,000000,4101.83,4136.54,4089.49,4090.41,39541
17/02/23,000000,4069.16,4081.51,4047.95,4079.09,62088
21/02/23,000000,4039.98,4052.35,3995.19,3997.34,62484
22/02/23,000000,4001.32,4017.37,3976.9,3991.05,62806
23/02/23,000000,4021.99,4028.3,3969.19,4012.32,63097
24/02/23,000000,3962.62,3978.25,3943.08,3970.04,62609
27/02/23,000000,4003.39,4018.05,3973.55,3982.24,61701
28/02/23,000000,3978,3997.5,3969.28,3970.15,62166
01/03/23,000000,3960.9,3971.73,3939.05,3951.39,62505
02/03/23,000000,3932.4,3990.84,3928.16,3981.35,62286
03/03/23,000000,4000.74,4048.29,3995.17,4045.64,61527
06/03/23,000000,4054.04,4078.49,4044.61,4048.42,61873
07/03/23,000000,4048.93,4050,3980.31,3986.37,63280
08/03/23,000000,3987.24,4000.41,3969.76,3992.01,62552
09/03/23,000000,3999.99,4017.81,3908.7,3918.32,63140
10/03/23,000000,3912.77,3934.05,3846.32,3861.59,63796
13/03/23,000000,3820.47,3905.05,3808.86,3855.76,59358
14/03/23,000000,3905.82,3937.29,3873.63,3919.29,60075
15/03/23,000000,3864.42,3894.26,3838.24,3891.93,58764
16/03/23,000000,3872.61,3964.46,3864.11,3960.28,60103
17/03/23,000000,3955.34,3958.91,3901.27,3916.64,60146
20/03/23,000000,3922.06,3956.62,3916.89,3951.57,59812
21/03/23,000000,3984.95,4009.08,3971.19,4002.87,59554
22/03/23,000000,4003.11,4039.49,3936.47,3959.21,59430
23/03/23,000000,3963.18,4007.66,3919.05,3948.72,60145
24/03/23,000000,3933.6,3972.74,3909.16,3970.99,60089
27/03/23,000000,3991.51,4003.83,3970.49,3977.53,59220
28/03/23,000000,3974.39,3979.2,3951.53,3971.27,58503
29/03/23,000000,4008.22,4030.59,4001.99,4027.81,58269
30/03/23,000000,4051.76,4057.85,4032.1,4050.83,58300
31/03/23,000000,4060.26,4110.5,4060.2,4109.31,57755
03/04/23,000000,4100.07,4127.66,4098.79,4124.51,58455
04/04/23,000000,4129.03,4133.13,4086.87,4100.6,59043
05/04/23,000000,4093.99,4099.69,4072.56,4090.38,58557
06/04/23,000000,4079.53,4107.32,4069.84,4105.02,58802
10/04/23,000000,4079.47,4109.5,4072.55,4109.11,58280
11/04/23,000000,4112.22,4124.26,4102.61,4108.94,58112
12/04/23,000000,4129.47,4134.37,4086.94,4091.95,59186
13/04/23,000000,4104.16,4150.26,4099.4,4146.22,58298
14/04/23,000000,4139.49,4163.19,4113.2,4137.64,59066
17/04/23,000000,4135.51,4151.72,4123.18,4151.32,58194
18/04/23,000000,4167.11,4169.48,4140.36,4154.87,58192
19/04/23,000000,4135.35,4162.57,4134.49,4154.52,58004
20/04/23,000000,4124.79,4148.57,4114.57,4129.79,58385
21/04/23,000000,4133.72,4138.02,4113.86,4133.52,58555
