<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
12/12/22,000000,2212.5,2212.5,2177.5,2177.5,8
13/12/22,000000,2201,2201,2197.25,2197.25,3
14/12/22,000000,2147,2171.5,2147,2171.5,3
15/12/22,000000,2131,2146.5,2131,2146.5,7
16/12/22,000000,2154,2156,2154,2155.25,4
19/12/22,000000,2180,2180,2173,2173,4
20/12/22,000000,2175,2194,2175,2194,6
21/12/22,000000,2215,2252.25,2215,2252.25,5
22/12/22,000000,2275,2277,2253.75,2253.75,4
23/12/22,000000,2254.5,2322.5,2254.5,2322.5,8
28/12/22,000000,2305,2305,2264.75,2264.75,7
29/12/22,000000,2315,2315.5,2314,2315.5,4
30/12/22,000000,2335,2336.5,2335,2336.5,5
03/01/23,000000,2320,2333,2320,2333,5
04/01/23,000000,2330,2331,2330,2331,7
05/01/23,000000,2295,2298.5,2264.75,2264.75,5
06/01/23,000000,2235,2235,2231.26,2231.26,6
09/01/23,000000,2318,2318,2264,2264,5
10/01/23,000000,2205,2213.25,2205,2213.25,7
11/01/23,000000,2202,2205,2202,2204,6
12/01/23,000000,2155,2212,2155,2212,3
13/01/23,000000,2210,2271,2210,2271,6
16/01/23,000000,2289,2289,2249,2249,6
17/01/23,000000,2240,2241,2239,2239,4
18/01/23,000000,2218,2218,2188.26,2188.26,5
19/01/23,000000,2163,2163,2144,2144,4
20/01/23,000000,2142,2142,2086.25,2086.25,5
23/01/23,000000,2105,2105,2049,2049,4
24/01/23,000000,2062,2120.6,2062,2120.6,4
25/01/23,000000,2146,2158.25,2146,2158.25,5
26/01/23,000000,2199,2205.5,2199,2205.5,4
27/01/23,000000,2210,2210,2182.25,2182.25,7
30/01/23,000000,2170,2171,2151.5,2151.5,5
31/01/23,000000,2142,2142,2128.5,2128.5,3
01/02/23,000000,2145,2145,2127,2127,3
02/02/23,000000,2131,2131,2120.75,2120.75,3
03/02/23,000000,2113,2113.5,2084.25,2084.25,4
06/02/23,000000,2100,2102,2087.75,2087.75,6
07/02/23,000000,2069,2086,2069,2086,3
08/02/23,000000,2130,2135,2129,2135,7
09/02/23,000000,2130,2130,2126.25,2126.25,3
10/02/23,000000,2096,2096,2068.75,2068.75,4
13/02/23,000000,2089,2089,2087.5,2087.5,6
14/02/23,000000,2096,2096.5,2086,2086,5
15/02/23,000000,2062,2062.5,2039.75,2039.75,5
16/02/23,000000,2033,2034,2016.75,2016.75,4
17/02/23,000000,2048,2056.25,2048,2056.25,5
20/02/23,000000,2085,2151.51,2085,2151.51,4
21/02/23,000000,2156,2156,2141.99,2141.99,3
22/02/23,000000,2143,2143,2097.5,2097.5,3
23/02/23,000000,2090,2090,2050.25,2050.25,6
24/02/23,000000,2066,2077.75,2066,2077.75,3
27/02/23,000000,2107,2117.25,2107,2117.25,4
28/02/23,000000,2083,2103,2083,2103,6
01/03/23,000000,2140,2140.5,2138,2140.5,5
02/03/23,000000,2108,2123,2108,2123,3
03/03/23,000000,2138,2138,2117.5,2117.5,6
06/03/23,000000,2117,2117,2115.65,2115.65,3
07/03/23,000000,2088,2088,2082,2082,4
08/03/23,000000,2087,2087,2086.5,2086.5,3
09/03/23,000000,2081,2082.25,2076,2082.25,4
10/03/23,000000,2069,2077,2069,2075.5,11
13/03/23,000000,2059.5,2077.4,2059.5,2077.4,6
14/03/23,000000,2098,2099,2079.55,2079.55,5
15/03/23,000000,2079,2079,2062.75,2062.75,3
16/03/23,000000,2055,2058,2055,2058,3
17/03/23,000000,2067,2090.25,2067,2090.25,5
20/03/23,000000,2104,2134,2104,2134,3
21/03/23,000000,2130,2130,2119,2119,3
22/03/23,000000,2149.5,2150,2147.75,2147.75,5
23/03/23,000000,2146,2146.5,2144.5,2144.5,4
24/03/23,000000,2135,2149.5,2135,2149.5,3
27/03/23,000000,2127,2154.25,2125,2154.25,4
28/03/23,000000,2154,2156.25,2154,2156.25,6
29/03/23,000000,2180,2184,2168.25,2168.25,9
30/03/23,000000,2174,2174,2161.5,2161.5,4
31/03/23,000000,2145,2145,2123.25,2123.25,6
03/04/23,000000,2137,2137,2118.5,2118.5,3
04/04/23,000000,2122,2122,2116.75,2116.75,3
05/04/23,000000,2119,2119.5,2115.5,2115.5,4
06/04/23,000000,2128,2128,2103.74,2103.74,3
11/04/23,000000,2120,2121,2104.5,2104.5,4
12/04/23,000000,2135,2154.9,2135,2154.9,5
13/04/23,000000,2163,2178.5,2162,2178.5,5
14/04/23,000000,2185,2198,2185,2198,4
17/04/23,000000,2131,2138.25,2131,2138.25,4
18/04/23,000000,2158,2178,2158,2178,5
19/04/23,000000,2155,2178.5,2155,2178.5,5
20/04/23,000000,2184,2184,2184,2184,3
21/04/23,000000,2204,2204,2190.75,2196.25,5
24/04/23,000000,2164,2176.5,2164,2176.5,3
25/04/23,000000,2162,2162,2130.76,2130.76,3
26/04/23,000000,2123,2123,2121.75,2121.75,3
27/04/23,000000,2122,2122,2121.85,2121.85,3
28/04/23,000000,2162,2173.5,2162,2173.5,3
02/05/23,000000,2170,2176.5,2170,2176.5,4
03/05/23,000000,2145,2145,2127.75,2127.75,3
04/05/23,000000,2126,2126,2088,2088,3
05/05/23,000000,2103,2106.5,2103,2106.5,3
09/05/23,000000,2118,2132.14,2118,2132.14,3
10/05/23,000000,2122.5,2136,2088,2088,205
11/05/23,000000,2088,2127,2088,2100,757
12/05/23,000000,2100,2100,2051,2051,886
15/05/23,000000,2057,2081,2051,2051,538
16/05/23,000000,2051,2060,2025,2025,545
17/05/23,000000,2025,2062,2025,2025,1074
18/05/23,000000,2025,2061,2025,2025,943
19/05/23,000000,2025,2104.61,2025,2025,764
22/05/23,000000,2025,2093,2025,2092,294
23/05/23,000000,2072,2072,2071.5,2071.5,3
24/05/23,000000,2057,2057,2046.75,2046.75,3
25/05/23,000000,2032,2073,2032,2073,5
26/05/23,000000,2060,2078.25,2058,2078.25,7
30/05/23,000000,2078,2078,2064.75,2064.75,5
31/05/23,000000,2035,2035.5,2011.53,2011.53,6
01/06/23,000000,1989,1995.5,1989,1995.5,5
02/06/23,000000,2010,2038.5,2010,2038.5,3
05/06/23,000000,2039.5,2040,2035.5,2035.5,5
06/06/23,000000,2035,2035,2034.5,2034.5,3
07/06/23,000000,2055,2057,2049.75,2049.75,4
08/06/23,000000,2029,2052,2029,2052,6
09/06/23,000000,2060,2074,2060,2074,3
12/06/23,000000,2090,2095,2090,2095,4
13/06/23,000000,2106,2111.5,2106,2111.5,3
14/06/23,000000,2147,2148,2147,2148,3
15/06/23,000000,2164,2165,2161.5,2161.5,5
16/06/23,000000,2174,2188.5,2174,2188.5,3
19/06/23,000000,2197,2197,2186.25,2186.25,3
20/06/23,000000,2183,2209,2183,2209,5
21/06/23,000000,2242,2272.5,2242,2272.5,4
22/06/23,000000,2221,2231,2221,2231,5
23/06/23,000000,2190,2190,2176.25,2176.25,5
26/06/23,000000,2159,2159,2124.5,2124.5,4
